META,,GOOGL,,AMZN,,PYPL,,TXRH,
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
10/12/2023 16:00:00,324.16,10/12/2023 16:00:00,138.97,10/12/2023 16:00:00,132.33,10/12/2023 16:00:00,56.36,10/12/2023 16:00:00,91.57
10/13/2023 16:00:00,314.69,10/13/2023 16:00:00,137.36,10/13/2023 16:00:00,129.79,10/13/2023 16:00:00,55.75,10/13/2023 16:00:00,92.24
10/16/2023 16:00:00,321.15,10/16/2023 16:00:00,139.1,10/16/2023 16:00:00,132.55,10/16/2023 16:00:00,57,10/16/2023 16:00:00,94.51
10/17/2023 16:00:00,324,10/17/2023 16:00:00,139.72,10/17/2023 16:00:00,131.47,10/17/2023 16:00:00,57.16,10/17/2023 16:00:00,95.7
10/18/2023 16:00:00,316.97,10/18/2023 16:00:00,137.96,10/18/2023 16:00:00,128.13,10/18/2023 16:00:00,55.8,10/18/2023 16:00:00,95.49
10/19/2023 16:00:00,312.81,10/19/2023 16:00:00,137.75,10/19/2023 16:00:00,128.4,10/19/2023 16:00:00,54.81,10/19/2023 16:00:00,96.48
10/20/2023 16:00:00,308.65,10/20/2023 16:00:00,135.6,10/20/2023 16:00:00,125.17,10/20/2023 16:00:00,53.39,10/20/2023 16:00:00,96.19
10/23/2023 16:00:00,314.01,10/23/2023 16:00:00,136.5,10/23/2023 16:00:00,126.56,10/23/2023 16:00:00,53.45,10/23/2023 16:00:00,95.99
10/24/2023 16:00:00,312.55,10/24/2023 16:00:00,138.81,10/24/2023 16:00:00,128.56,10/24/2023 16:00:00,54.24,10/24/2023 16:00:00,96.09
10/25/2023 16:00:00,299.53,10/25/2023 16:00:00,125.61,10/25/2023 16:00:00,121.39,10/25/2023 16:00:00,51.49,10/25/2023 16:00:00,96.44
10/26/2023 16:00:00,288.35,10/26/2023 16:00:00,122.28,10/26/2023 16:00:00,119.57,10/26/2023 16:00:00,51.75,10/26/2023 16:00:00,94.63
10/27/2023 16:00:00,296.73,10/27/2023 16:00:00,122.17,10/27/2023 16:00:00,127.74,10/27/2023 16:00:00,50.39,10/27/2023 16:00:00,97.71
10/30/2023 16:00:00,302.66,10/30/2023 16:00:00,124.46,10/30/2023 16:00:00,132.71,10/30/2023 16:00:00,51.05,10/30/2023 16:00:00,98.5
10/31/2023 16:00:00,301.27,10/31/2023 16:00:00,124.08,10/31/2023 16:00:00,133.09,10/31/2023 16:00:00,51.8,10/31/2023 16:00:00,101.54
11/1/2023 16:00:00,311.85,11/1/2023 16:00:00,126.45,11/1/2023 16:00:00,137,11/1/2023 16:00:00,51.66,11/1/2023 16:00:00,103.01
11/2/2023 16:00:00,310.87,11/2/2023 16:00:00,127.49,11/2/2023 16:00:00,138.07,11/2/2023 16:00:00,55.06,11/2/2023 16:00:00,102.42
11/3/2023 16:00:00,314.6,11/3/2023 16:00:00,129.1,11/3/2023 16:00:00,138.6,11/3/2023 16:00:00,56.1,11/3/2023 16:00:00,104.28
11/6/2023 16:00:00,315.8,11/6/2023 16:00:00,130.25,11/6/2023 16:00:00,139.74,11/6/2023 16:00:00,54.62,11/6/2023 16:00:00,103.77
11/7/2023 16:00:00,318.82,11/7/2023 16:00:00,130.97,11/7/2023 16:00:00,142.71,11/7/2023 16:00:00,54.63,11/7/2023 16:00:00,103.27
11/8/2023 16:00:00,319.78,11/8/2023 16:00:00,131.84,11/8/2023 16:00:00,142.08,11/8/2023 16:00:00,55.08,11/8/2023 16:00:00,103.41
11/9/2023 16:00:00,320.55,11/9/2023 16:00:00,130.24,11/9/2023 16:00:00,140.6,11/9/2023 16:00:00,54.28,11/9/2023 16:00:00,102.88
11/10/2023 16:00:00,328.77,11/10/2023 16:00:00,132.59,11/10/2023 16:00:00,143.56,11/10/2023 16:00:00,54.77,11/10/2023 16:00:00,104.19
11/13/2023 16:00:00,329.19,11/13/2023 16:00:00,132.09,11/13/2023 16:00:00,142.59,11/13/2023 16:00:00,54.39,11/13/2023 16:00:00,107.29
11/14/2023 16:00:00,336.31,11/14/2023 16:00:00,133.62,11/14/2023 16:00:00,145.8,11/14/2023 16:00:00,56.68,11/14/2023 16:00:00,110.13
11/15/2023 16:00:00,332.71,11/15/2023 16:00:00,134.62,11/15/2023 16:00:00,143.2,11/15/2023 16:00:00,58.25,11/15/2023 16:00:00,110.39
11/16/2023 16:00:00,334.19,11/16/2023 16:00:00,136.93,11/16/2023 16:00:00,142.83,11/16/2023 16:00:00,56.82,11/16/2023 16:00:00,110.18
11/17/2023 16:00:00,335.04,11/17/2023 16:00:00,135.31,11/17/2023 16:00:00,145.18,11/17/2023 16:00:00,56.54,11/17/2023 16:00:00,110.78
11/20/2023 16:00:00,339.97,11/20/2023 16:00:00,136.25,11/20/2023 16:00:00,146.13,11/20/2023 16:00:00,56.99,11/20/2023 16:00:00,109.71
11/21/2023 16:00:00,336.98,11/21/2023 16:00:00,136.97,11/21/2023 16:00:00,143.9,11/21/2023 16:00:00,55.4,11/21/2023 16:00:00,110.51
11/22/2023 16:00:00,341.49,11/22/2023 16:00:00,138.49,11/22/2023 16:00:00,146.71,11/22/2023 16:00:00,56.34,11/22/2023 16:00:00,111.93
11/24/2023 13:05:00,338.23,11/24/2023 13:05:00,136.69,11/24/2023 13:05:00,146.74,11/24/2023 13:05:00,55.76,11/24/2023 13:05:00,112.61
11/27/2023 16:00:00,334.7,11/27/2023 16:00:00,136.41,11/27/2023 16:00:00,147.73,11/27/2023 16:00:00,56.39,11/27/2023 16:00:00,112.83
11/28/2023 16:00:00,338.99,11/28/2023 16:00:00,137.2,11/28/2023 16:00:00,147.03,11/28/2023 16:00:00,58.47,11/28/2023 16:00:00,112.05
11/29/2023 16:00:00,332.2,11/29/2023 16:00:00,134.99,11/29/2023 16:00:00,146.32,11/29/2023 16:00:00,57.97,11/29/2023 16:00:00,111.63
11/30/2023 16:00:00,327.15,11/30/2023 16:00:00,132.53,11/30/2023 16:00:00,146.09,11/30/2023 16:00:00,57.61,11/30/2023 16:00:00,112.56
12/1/2023 16:00:00,324.82,12/1/2023 16:00:00,131.86,12/1/2023 16:00:00,147.03,12/1/2023 16:00:00,59.65,12/1/2023 16:00:00,114.49
12/4/2023 16:00:00,320.02,12/4/2023 16:00:00,129.27,12/4/2023 16:00:00,144.84,12/4/2023 16:00:00,59.85,12/4/2023 16:00:00,114.41
12/5/2023 16:00:00,318.29,12/5/2023 16:00:00,130.99,12/5/2023 16:00:00,146.88,12/5/2023 16:00:00,57.92,12/5/2023 16:00:00,113.19
12/6/2023 16:00:00,317.45,12/6/2023 16:00:00,130.02,12/6/2023 16:00:00,144.52,12/6/2023 16:00:00,59.53,12/6/2023 16:00:00,114.18
12/7/2023 16:00:00,326.59,12/7/2023 16:00:00,136.93,12/7/2023 16:00:00,146.88,12/7/2023 16:00:00,58.48,12/7/2023 16:00:00,114.58
12/8/2023 16:00:00,332.75,12/8/2023 16:00:00,134.99,12/8/2023 16:00:00,147.42,12/8/2023 16:00:00,58.94,12/8/2023 16:00:00,113.52
12/11/2023 16:00:00,325.28,12/11/2023 16:00:00,133.29,12/11/2023 16:00:00,145.89,12/11/2023 16:00:00,59.04,12/11/2023 16:00:00,114.86
12/12/2023 16:00:00,334.22,12/12/2023 16:00:00,132.52,12/12/2023 16:00:00,147.48,12/12/2023 16:00:00,58.89,12/12/2023 16:00:00,115.23
12/13/2023 16:00:00,334.74,12/13/2023 16:00:00,132.57,12/13/2023 16:00:00,148.84,12/13/2023 16:00:00,61.73,12/13/2023 16:00:00,116.29
12/14/2023 16:00:00,333.17,12/14/2023 16:00:00,131.94,12/14/2023 16:00:00,147.42,12/14/2023 16:00:00,61.87,12/14/2023 16:00:00,115.36
12/15/2023 16:00:00,334.92,12/15/2023 16:00:00,132.6,12/15/2023 16:00:00,149.97,12/15/2023 16:00:00,61.26,12/15/2023 16:00:00,116.01
12/18/2023 16:00:00,344.62,12/18/2023 16:00:00,135.8,12/18/2023 16:00:00,154.07,12/18/2023 16:00:00,61.47,12/18/2023 16:00:00,117.71
12/19/2023 16:00:00,350.36,12/19/2023 16:00:00,136.65,12/19/2023 16:00:00,153.79,12/19/2023 16:00:00,63.01,12/19/2023 16:00:00,119.73
12/20/2023 16:00:00,349.28,12/20/2023 16:00:00,138.34,12/20/2023 16:00:00,152.12,12/20/2023 16:00:00,61.74,12/20/2023 16:00:00,118.29
12/21/2023 16:00:00,354.09,12/21/2023 16:00:00,140.42,12/21/2023 16:00:00,153.84,12/21/2023 16:00:00,62.06,12/21/2023 16:00:00,119.49
12/22/2023 16:00:00,353.39,12/22/2023 16:00:00,141.49,12/22/2023 16:00:00,153.42,12/22/2023 16:00:00,61.84,12/22/2023 16:00:00,121.11
12/26/2023 16:00:00,354.83,12/26/2023 16:00:00,141.52,12/26/2023 16:00:00,153.41,12/26/2023 16:00:00,62.56,12/26/2023 16:00:00,123.16
12/27/2023 16:00:00,357.83,12/27/2023 16:00:00,140.37,12/27/2023 16:00:00,153.34,12/27/2023 16:00:00,62.68,12/27/2023 16:00:00,123.63
12/28/2023 16:00:00,358.32,12/28/2023 16:00:00,140.23,12/28/2023 16:00:00,153.38,12/28/2023 16:00:00,63.08,12/28/2023 16:00:00,122.58
12/29/2023 16:00:00,353.96,12/29/2023 16:00:00,139.69,12/29/2023 16:00:00,151.94,12/29/2023 16:00:00,61.41,12/29/2023 16:00:00,122.23
1/2/2024 16:00:00,346.29,1/2/2024 16:00:00,138.17,1/2/2024 16:00:00,149.93,1/2/2024 16:00:00,61.46,1/2/2024 16:00:00,119.29
1/3/2024 16:00:00,344.47,1/3/2024 16:00:00,138.92,1/3/2024 16:00:00,148.47,1/3/2024 16:00:00,58.63,1/3/2024 16:00:00,116.48
1/4/2024 16:00:00,347.12,1/4/2024 16:00:00,136.39,1/4/2024 16:00:00,144.57,1/4/2024 16:00:00,58.45,1/4/2024 16:00:00,117.95
1/5/2024 16:00:00,351.95,1/5/2024 16:00:00,135.73,1/5/2024 16:00:00,145.24,1/5/2024 16:00:00,60.12,1/5/2024 16:00:00,118.3
1/8/2024 16:00:00,358.66,1/8/2024 16:00:00,138.84,1/8/2024 16:00:00,149.1,1/8/2024 16:00:00,61.74,1/8/2024 16:00:00,120.28
1/9/2024 16:00:00,357.43,1/9/2024 16:00:00,140.95,1/9/2024 16:00:00,151.37,1/9/2024 16:00:00,61.05,1/9/2024 16:00:00,120.06
1/10/2024 16:00:00,370.47,1/10/2024 16:00:00,142.28,1/10/2024 16:00:00,153.73,1/10/2024 16:00:00,60.96,1/10/2024 16:00:00,120.27
1/11/2024 16:00:00,369.67,1/11/2024 16:00:00,142.08,1/11/2024 16:00:00,155.18,1/11/2024 16:00:00,61.35,1/11/2024 16:00:00,118.75
1/12/2024 16:00:00,374.49,1/12/2024 16:00:00,142.65,1/12/2024 16:00:00,154.62,1/12/2024 16:00:00,61,1/12/2024 16:00:00,116.78
1/16/2024 16:00:00,367.46,1/16/2024 16:00:00,142.49,1/16/2024 16:00:00,153.16,1/16/2024 16:00:00,58.45,1/16/2024 16:00:00,118.1
1/17/2024 16:00:00,368.37,1/17/2024 16:00:00,141.47,1/17/2024 16:00:00,151.71,1/17/2024 16:00:00,59.89,1/17/2024 16:00:00,118.2
1/18/2024 16:00:00,376.13,1/18/2024 16:00:00,143.48,1/18/2024 16:00:00,153.5,1/18/2024 16:00:00,62.09,1/18/2024 16:00:00,119.35
1/19/2024 16:00:00,383.45,1/19/2024 16:00:00,146.38,1/19/2024 16:00:00,155.34,1/19/2024 16:00:00,65.82,1/19/2024 16:00:00,118.78
1/22/2024 16:00:00,381.78,1/22/2024 16:00:00,145.99,1/22/2024 16:00:00,154.78,1/22/2024 16:00:00,63.74,1/22/2024 16:00:00,121.44
1/23/2024 16:00:00,385.2,1/23/2024 16:00:00,147.04,1/23/2024 16:00:00,156.02,1/23/2024 16:00:00,64.78,1/23/2024 16:00:00,121.79
1/24/2024 16:00:00,390.7,1/24/2024 16:00:00,148.7,1/24/2024 16:00:00,156.87,1/24/2024 16:00:00,63.02,1/24/2024 16:00:00,122.74
1/25/2024 16:00:00,393.18,1/25/2024 16:00:00,151.87,1/25/2024 16:00:00,157.75,1/25/2024 16:00:00,60.71,1/25/2024 16:00:00,122.97
1/26/2024 16:00:00,394.14,1/26/2024 16:00:00,152.19,1/26/2024 16:00:00,159.12,1/26/2024 16:00:00,61.78,1/26/2024 16:00:00,122.82
1/29/2024 16:00:00,401.02,1/29/2024 16:00:00,153.51,1/29/2024 16:00:00,161.26,1/29/2024 16:00:00,63.76,1/29/2024 16:00:00,126.19
1/30/2024 16:00:00,400.06,1/30/2024 16:00:00,151.46,1/30/2024 16:00:00,159,1/30/2024 16:00:00,63.68,1/30/2024 16:00:00,126.83
1/31/2024 16:00:00,390.14,1/31/2024 16:00:00,140.1,1/31/2024 16:00:00,155.2,1/31/2024 16:00:00,61.35,1/31/2024 16:00:00,125.72
2/1/2024 16:00:00,394.78,2/1/2024 16:00:00,141.16,2/1/2024 16:00:00,159.28,2/1/2024 16:00:00,62.02,2/1/2024 16:00:00,128.67
2/2/2024 16:00:00,474.99,2/2/2024 16:00:00,142.38,2/2/2024 16:00:00,171.81,2/2/2024 16:00:00,62.42,2/2/2024 16:00:00,130.5
2/5/2024 16:00:00,459.41,2/5/2024 16:00:00,143.68,2/5/2024 16:00:00,170.31,2/5/2024 16:00:00,61.54,2/5/2024 16:00:00,128.55
2/6/2024 16:00:00,454.72,2/6/2024 16:00:00,144.1,2/6/2024 16:00:00,169.15,2/6/2024 16:00:00,63.71,2/6/2024 16:00:00,129.18
2/7/2024 16:00:00,469.59,2/7/2024 16:00:00,145.54,2/7/2024 16:00:00,170.53,2/7/2024 16:00:00,63.24,2/7/2024 16:00:00,132.61
2/8/2024 16:00:00,470,2/8/2024 16:00:00,145.91,2/8/2024 16:00:00,169.84,2/8/2024 16:00:00,56.13,2/8/2024 16:00:00,135.49
2/9/2024 16:00:00,468.11,2/9/2024 16:00:00,149,2/9/2024 16:00:00,174.45,2/9/2024 16:00:00,58.91,2/9/2024 16:00:00,134.73
2/12/2024 16:00:00,468.9,2/12/2024 16:00:00,147.53,2/12/2024 16:00:00,172.34,2/12/2024 16:00:00,60.09,2/12/2024 16:00:00,133.93
2/13/2024 16:00:00,460.12,2/13/2024 16:00:00,145.14,2/13/2024 16:00:00,168.64,2/13/2024 16:00:00,58.26,2/13/2024 16:00:00,132.91
2/14/2024 16:00:00,473.28,2/14/2024 16:00:00,145.94,2/14/2024 16:00:00,170.98,2/14/2024 16:00:00,58.87,2/14/2024 16:00:00,132.37
2/15/2024 16:00:00,484.03,2/15/2024 16:00:00,142.77,2/15/2024 16:00:00,169.8,2/15/2024 16:00:00,59.7,2/15/2024 16:00:00,133.89
2/16/2024 16:00:00,473.32,2/16/2024 16:00:00,140.52,2/16/2024 16:00:00,169.51,2/16/2024 16:00:00,59.14,2/16/2024 16:00:00,147.7
2/20/2024 16:00:00,471.75,2/20/2024 16:00:00,141.12,2/20/2024 16:00:00,167.08,2/20/2024 16:00:00,58.63,2/20/2024 16:00:00,147.2
2/21/2024 16:00:00,468.03,2/21/2024 16:00:00,142.55,2/21/2024 16:00:00,168.59,2/21/2024 16:00:00,57.48,2/21/2024 16:00:00,145.7
2/22/2024 16:00:00,486.13,2/22/2024 16:00:00,144.09,2/22/2024 16:00:00,174.58,2/22/2024 16:00:00,58.35,2/22/2024 16:00:00,149.03
2/23/2024 16:00:00,484.03,2/23/2024 16:00:00,143.96,2/23/2024 16:00:00,174.99,2/23/2024 16:00:00,59.16,2/23/2024 16:00:00,148.9
2/26/2024 16:00:00,481.74,2/26/2024 16:00:00,137.57,2/26/2024 16:00:00,174.73,2/26/2024 16:00:00,59.33,2/26/2024 16:00:00,150.29
2/27/2024 16:00:00,487.05,2/27/2024 16:00:00,138.88,2/27/2024 16:00:00,173.54,2/27/2024 16:00:00,60.16,2/27/2024 16:00:00,149.68
2/28/2024 16:00:00,484.02,2/28/2024 16:00:00,136.38,2/28/2024 16:00:00,173.16,2/28/2024 16:00:00,60.25,2/28/2024 16:00:00,147.77
2/29/2024 16:00:00,490.13,2/29/2024 16:00:00,138.46,2/29/2024 16:00:00,176.76,2/29/2024 16:00:00,60.34,2/29/2024 16:00:00,149.37
3/1/2024 16:00:00,502.3,3/1/2024 16:00:00,137.14,3/1/2024 16:00:00,178.22,3/1/2024 16:00:00,60.54,3/1/2024 16:00:00,149.6
3/4/2024 16:00:00,498.19,3/4/2024 16:00:00,133.35,3/4/2024 16:00:00,177.58,3/4/2024 16:00:00,59.98,3/4/2024 16:00:00,149.64
3/5/2024 16:00:00,490.22,3/5/2024 16:00:00,132.67,3/5/2024 16:00:00,174.12,3/5/2024 16:00:00,58.27,3/5/2024 16:00:00,151.55
3/6/2024 16:00:00,496.09,3/6/2024 16:00:00,131.4,3/6/2024 16:00:00,173.51,3/6/2024 16:00:00,58.12,3/6/2024 16:00:00,151.42
3/7/2024 16:00:00,512.19,3/7/2024 16:00:00,134.38,3/7/2024 16:00:00,176.82,3/7/2024 16:00:00,58.5,3/7/2024 16:00:00,150.29
3/8/2024 16:00:00,505.95,3/8/2024 16:00:00,135.41,3/8/2024 16:00:00,175.35,3/8/2024 16:00:00,59.01,3/8/2024 16:00:00,148.36
3/11/2024 16:00:00,483.59,3/11/2024 16:00:00,137.67,3/11/2024 16:00:00,171.96,3/11/2024 16:00:00,60.08,3/11/2024 16:00:00,148.25
3/12/2024 16:00:00,499.75,3/12/2024 16:00:00,138.5,3/12/2024 16:00:00,175.39,3/12/2024 16:00:00,60.03,3/12/2024 16:00:00,150.68
3/13/2024 16:00:00,495.57,3/13/2024 16:00:00,139.79,3/13/2024 16:00:00,176.56,3/13/2024 16:00:00,62.45,3/13/2024 16:00:00,154.6
3/14/2024 16:00:00,491.83,3/14/2024 16:00:00,143.1,3/14/2024 16:00:00,178.75,3/14/2024 16:00:00,63,3/14/2024 16:00:00,152.93
3/15/2024 16:00:00,484.1,3/15/2024 16:00:00,141.18,3/15/2024 16:00:00,174.42,3/15/2024 16:00:00,62.85,3/15/2024 16:00:00,152.26
3/18/2024 16:00:00,496.98,3/18/2024 16:00:00,147.68,3/18/2024 16:00:00,174.48,3/18/2024 16:00:00,64.23,3/18/2024 16:00:00,152
3/19/2024 16:00:00,496.24,3/19/2024 16:00:00,147.03,3/19/2024 16:00:00,175.9,3/19/2024 16:00:00,63.01,3/19/2024 16:00:00,153.67
3/20/2024 16:00:00,505.52,3/20/2024 16:00:00,148.74,3/20/2024 16:00:00,178.15,3/20/2024 16:00:00,65.05,3/20/2024 16:00:00,154.49
3/21/2024 16:00:00,507.76,3/21/2024 16:00:00,147.6,3/21/2024 16:00:00,178.15,3/21/2024 16:00:00,66.14,3/21/2024 16:00:00,153.48
3/22/2024 16:00:00,509.58,3/22/2024 16:00:00,150.77,3/22/2024 16:00:00,178.87,3/22/2024 16:00:00,64.77,3/22/2024 16:00:00,152.69
3/25/2024 16:00:00,503.02,3/25/2024 16:00:00,150.07,3/25/2024 16:00:00,179.71,3/25/2024 16:00:00,66,3/25/2024 16:00:00,151.89
3/26/2024 16:00:00,495.89,3/26/2024 16:00:00,150.67,3/26/2024 16:00:00,178.3,3/26/2024 16:00:00,66.67,3/26/2024 16:00:00,152.22
3/27/2024 16:00:00,493.86,3/27/2024 16:00:00,150.87,3/27/2024 16:00:00,179.83,3/27/2024 16:00:00,66.57,3/27/2024 16:00:00,154.27
3/28/2024 16:00:00,485.58,3/28/2024 16:00:00,150.93,3/28/2024 16:00:00,180.38,3/28/2024 16:00:00,66.99,3/28/2024 16:00:00,154.47
4/1/2024 16:00:00,491.35,4/1/2024 16:00:00,155.49,4/1/2024 16:00:00,180.97,4/1/2024 16:00:00,65.03,4/1/2024 16:00:00,155.16
4/2/2024 16:00:00,497.37,4/2/2024 16:00:00,154.56,4/2/2024 16:00:00,180.69,4/2/2024 16:00:00,64.66,4/2/2024 16:00:00,152.27
4/3/2024 16:00:00,506.74,4/3/2024 16:00:00,154.92,4/3/2024 16:00:00,182.41,4/3/2024 16:00:00,65.34,4/3/2024 16:00:00,152.71
4/4/2024 16:00:00,510.92,4/4/2024 16:00:00,150.53,4/4/2024 16:00:00,180,4/4/2024 16:00:00,64.54,4/4/2024 16:00:00,148.27
4/5/2024 16:00:00,527.34,4/5/2024 16:00:00,152.5,4/5/2024 16:00:00,185.07,4/5/2024 16:00:00,65.15,4/5/2024 16:00:00,149.99
4/8/2024 16:00:00,519.25,4/8/2024 16:00:00,154.85,4/8/2024 16:00:00,185.19,4/8/2024 16:00:00,66.34,4/8/2024 16:00:00,150.19
4/9/2024 16:00:00,516.9,4/9/2024 16:00:00,156.6,4/9/2024 16:00:00,185.67,4/9/2024 16:00:00,67,4/9/2024 16:00:00,149.26
4/10/2024 16:00:00,519.83,4/10/2024 16:00:00,156.14,4/10/2024 16:00:00,185.95,4/10/2024 16:00:00,65.88,4/10/2024 16:00:00,149.41
4/11/2024 16:00:00,523.16,4/11/2024 16:00:00,159.41,4/11/2024 16:00:00,189.05,4/11/2024 16:00:00,65.8,4/11/2024 16:00:00,148.97
4/12/2024 16:00:00,511.9,4/12/2024 16:00:00,157.73,4/12/2024 16:00:00,186.13,4/12/2024 16:00:00,64.59,4/12/2024 16:00:00,148.63
4/15/2024 16:00:00,500.23,4/15/2024 16:00:00,154.86,4/15/2024 16:00:00,183.62,4/15/2024 16:00:00,63.51,4/15/2024 16:00:00,148.72
4/16/2024 16:00:00,499.76,4/16/2024 16:00:00,154.4,4/16/2024 16:00:00,183.32,4/16/2024 16:00:00,63.43,4/16/2024 16:00:00,150.82
4/17/2024 16:00:00,494.17,4/17/2024 16:00:00,155.47,4/17/2024 16:00:00,181.28,4/17/2024 16:00:00,63.26,4/17/2024 16:00:00,149.39
4/18/2024 16:00:00,501.8,4/18/2024 16:00:00,156.01,4/18/2024 16:00:00,179.22,4/18/2024 16:00:00,62.1,4/18/2024 16:00:00,150.46
4/19/2024 16:00:00,481.07,4/19/2024 16:00:00,154.09,4/19/2024 16:00:00,174.63,4/19/2024 16:00:00,62.31,4/19/2024 16:00:00,150.73
4/22/2024 16:00:00,481.73,4/22/2024 16:00:00,156.28,4/22/2024 16:00:00,177.23,4/22/2024 16:00:00,63.19,4/22/2024 16:00:00,153.06
4/23/2024 16:00:00,496.1,4/23/2024 16:00:00,158.26,4/23/2024 16:00:00,179.54,4/23/2024 16:00:00,64.43,4/23/2024 16:00:00,156.87
4/24/2024 16:00:00,493.5,4/24/2024 16:00:00,159.13,4/24/2024 16:00:00,176.59,4/24/2024 16:00:00,64.84,4/24/2024 16:00:00,156.76
4/25/2024 16:00:00,441.38,4/25/2024 16:00:00,156,4/25/2024 16:00:00,173.67,4/25/2024 16:00:00,64.1,4/25/2024 16:00:00,156.87
4/26/2024 16:00:00,443.29,4/26/2024 16:00:00,171.95,4/26/2024 16:00:00,179.62,4/26/2024 16:00:00,65.96,4/26/2024 16:00:00,157.46
4/29/2024 16:00:00,432.62,4/29/2024 16:00:00,166.15,4/29/2024 16:00:00,180.96,4/29/2024 16:00:00,66.99,4/29/2024 16:00:00,159.21
4/30/2024 16:00:00,430.17,4/30/2024 16:00:00,162.78,4/30/2024 16:00:00,175,4/30/2024 16:00:00,67.92,4/30/2024 16:00:00,160.78
5/1/2024 16:00:00,439.19,5/1/2024 16:00:00,163.86,5/1/2024 16:00:00,179,5/1/2024 16:00:00,66.14,5/1/2024 16:00:00,157.06
5/2/2024 16:00:00,441.68,5/2/2024 16:00:00,166.62,5/2/2024 16:00:00,184.72,5/2/2024 16:00:00,66.98,5/2/2024 16:00:00,157.9
5/3/2024 16:00:00,451.96,5/3/2024 16:00:00,167.24,5/3/2024 16:00:00,186.21,5/3/2024 16:00:00,65.7,5/3/2024 16:00:00,163.61
5/6/2024 16:00:00,465.68,5/6/2024 16:00:00,168.1,5/6/2024 16:00:00,188.7,5/6/2024 16:00:00,65.61,5/6/2024 16:00:00,167.74
5/7/2024 16:00:00,468.24,5/7/2024 16:00:00,171.25,5/7/2024 16:00:00,188.76,5/7/2024 16:00:00,65.92,5/7/2024 16:00:00,166.07
5/8/2024 16:00:00,472.6,5/8/2024 16:00:00,169.38,5/8/2024 16:00:00,188,5/8/2024 16:00:00,63.81,5/8/2024 16:00:00,165.52
5/9/2024 16:00:00,475.42,5/9/2024 16:00:00,169.96,5/9/2024 16:00:00,189.5,5/9/2024 16:00:00,64.45,5/9/2024 16:00:00,166.49
5/10/2024 16:00:00,476.2,5/10/2024 16:00:00,168.65,5/10/2024 16:00:00,187.48,5/10/2024 16:00:00,62.93,5/10/2024 16:00:00,167.22
5/13/2024 16:00:00,468.01,5/13/2024 16:00:00,169.14,5/13/2024 16:00:00,186.57,5/13/2024 16:00:00,63.95,5/13/2024 16:00:00,165.52
5/14/2024 16:00:00,471.85,5/14/2024 16:00:00,170.34,5/14/2024 16:00:00,187.07,5/14/2024 16:00:00,64.58,5/14/2024 16:00:00,167.89
5/15/2024 16:00:00,481.54,5/15/2024 16:00:00,172.51,5/15/2024 16:00:00,185.99,5/15/2024 16:00:00,63.9,5/15/2024 16:00:00,168.49
5/16/2024 16:00:00,473.23,5/16/2024 16:00:00,174.18,5/16/2024 16:00:00,183.63,5/16/2024 16:00:00,64.1,5/16/2024 16:00:00,168.98
5/17/2024 16:00:00,471.91,5/17/2024 16:00:00,176.06,5/17/2024 16:00:00,184.7,5/17/2024 16:00:00,64.48,5/17/2024 16:00:00,169.64
5/20/2024 16:00:00,468.84,5/20/2024 16:00:00,176.92,5/20/2024 16:00:00,183.54,5/20/2024 16:00:00,64.77,5/20/2024 16:00:00,168.39
5/21/2024 16:00:00,464.63,5/21/2024 16:00:00,177.85,5/21/2024 16:00:00,183.15,5/21/2024 16:00:00,64.1,5/21/2024 16:00:00,167.79
5/22/2024 16:00:00,467.78,5/22/2024 16:00:00,176.38,5/22/2024 16:00:00,183.13,5/22/2024 16:00:00,62.19,5/22/2024 16:00:00,167.2
5/23/2024 16:00:00,465.78,5/23/2024 16:00:00,173.55,5/23/2024 16:00:00,181.05,5/23/2024 16:00:00,61.58,5/23/2024 16:00:00,166.37
5/24/2024 16:00:00,478.22,5/24/2024 16:00:00,174.99,5/24/2024 16:00:00,180.75,5/24/2024 16:00:00,61.64,5/24/2024 16:00:00,168.75
5/28/2024 16:00:00,479.92,5/28/2024 16:00:00,176.4,5/28/2024 16:00:00,182.15,5/28/2024 16:00:00,62.17,5/28/2024 16:00:00,172.11
5/29/2024 16:00:00,474.36,5/29/2024 16:00:00,175.9,5/29/2024 16:00:00,182.02,5/29/2024 16:00:00,61.05,5/29/2024 16:00:00,168.63
5/30/2024 16:00:00,467.05,5/30/2024 16:00:00,172.11,5/30/2024 16:00:00,179.32,5/30/2024 16:00:00,62.51,5/30/2024 16:00:00,172.39
5/31/2024 16:00:00,466.83,5/31/2024 16:00:00,172.5,5/31/2024 16:00:00,176.44,5/31/2024 16:00:00,62.99,5/31/2024 16:00:00,172.67
6/3/2024 16:00:00,477.49,6/3/2024 16:00:00,173.17,6/3/2024 16:00:00,178.34,6/3/2024 16:00:00,63.46,6/3/2024 16:00:00,169.43
6/4/2024 16:00:00,476.99,6/4/2024 16:00:00,173.79,6/4/2024 16:00:00,179.34,6/4/2024 16:00:00,63.33,6/4/2024 16:00:00,168.95
6/5/2024 16:00:00,495.06,6/5/2024 16:00:00,175.41,6/5/2024 16:00:00,181.28,6/5/2024 16:00:00,63.53,6/5/2024 16:00:00,171.06
6/6/2024 16:00:00,493.76,6/6/2024 16:00:00,176.73,6/6/2024 16:00:00,185,6/6/2024 16:00:00,67.02,6/6/2024 16:00:00,170.16
